timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1683375859248,41,S01_T01_LaunchApp-04,200,,parallel bzm - Parallel Controller,,true,,533,989,28,1,http://localhost:8080/actuator/health/ping,41,0,0
1683375859251,42,S01_T01_LaunchApp-14,200,,parallel bzm - Parallel Controller,text,true,,1163,985,28,1,http://localhost:8080/api/v1/store/DEFAULT,41,0,1
1683375859247,53,S01_T01_LaunchApp-05,200,,parallel bzm - Parallel Controller,text,true,,450,985,28,1,http://localhost:8080/actuator/health/ping,53,0,1
1683375859255,46,S01_T01_LaunchApp-16,200,,parallel bzm - Parallel Controller,text,true,,511,1017,28,1,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,45,0,1
1683375859254,47,S01_T01_LaunchApp-10,200,,parallel bzm - Parallel Controller,text,true,,9311,1015,28,1,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,47,0,2
1683375859262,84,S01_T01_LaunchApp-15,200,,parallel bzm - Parallel Controller,text,true,,1531,1012,23,2,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,56,0,4
1683375859251,96,S01_T01_LaunchApp-12,200,,parallel bzm - Parallel Controller,,true,,533,989,23,2,http://localhost:8080/api/v1/store/DEFAULT,96,0,1
1683375859264,83,S01_T01_LaunchApp-31,200,,parallel bzm - Parallel Controller,text,true,,531,1024,23,2,http://localhost:8080/api/v1/product/52/price/,83,0,4
1683375859248,101,S01_T01_LaunchApp-06,200,,parallel bzm - Parallel Controller,,true,,533,1012,20,2,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,101,0,1
1683375859258,94,S01_T01_LaunchApp-17,200,,parallel bzm - Parallel Controller,,true,,533,993,19,2,http://localhost:8080/api/v1/product/50/price/,94,0,3
1683375859269,89,S01_T01_LaunchApp-28,200,,parallel bzm - Parallel Controller,text,true,,529,1024,18,2,http://localhost:8080/api/v1/product/50/price/,54,0,1
1683375859247,114,S01_T01_LaunchApp-09,404,,parallel bzm - Parallel Controller,text,false,,522,1008,17,2,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,54,0,1
1683375859261,103,S01_T01_LaunchApp-20,200,,parallel bzm - Parallel Controller,,true,,533,992,16,2,http://localhost:8080/api/v1/product/1/price/,103,0,1
1683375859267,97,S01_T01_LaunchApp-29,200,,parallel bzm - Parallel Controller,text,true,,531,1023,16,2,http://localhost:8080/api/v1/product/1/price/,58,0,1
1683375859251,114,S01_T01_LaunchApp-13,200,,parallel bzm - Parallel Controller,,true,,533,1021,15,2,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,114,0,1
1683375859267,100,S01_T01_LaunchApp-26,200,,parallel bzm - Parallel Controller,text,true,,531,1024,13,2,http://localhost:8080/api/v1/product/52/price/,71,0,1
1683375859264,103,S01_T01_LaunchApp-24,200,,parallel bzm - Parallel Controller,,true,,533,993,13,2,http://localhost:8080/api/v1/product/52/price/,103,0,1
1683375859263,113,S01_T01_LaunchApp-27,200,,parallel bzm - Parallel Controller,text,true,,529,1024,11,0,http://localhost:8080/api/v1/product/50/price/,81,0,6
1683375859266,119,S01_T01_LaunchApp-23,200,,parallel bzm - Parallel Controller,,true,,533,993,10,2,http://localhost:8080/api/v1/product/51/price/,119,0,4
1683375859255,131,S01_T01_LaunchApp-19,200,,parallel bzm - Parallel Controller,,true,,533,993,9,2,http://localhost:8080/api/v1/product/50/price/,131,0,1
1683375859251,158,S01_T01_LaunchApp-07,200,,parallel bzm - Parallel Controller,,true,,533,1019,8,2,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,158,0,3
1683375859264,145,S01_T01_LaunchApp-21,200,,parallel bzm - Parallel Controller,,true,,533,992,8,2,http://localhost:8080/api/v1/product/1/price/,145,0,1
1683375859255,154,S01_T01_LaunchApp-18,200,,parallel bzm - Parallel Controller,,true,,533,993,8,2,http://localhost:8080/api/v1/product/52/price/,154,0,1
1683375859256,153,S01_T01_LaunchApp-11,200,,parallel bzm - Parallel Controller,,true,,533,1016,8,2,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,153,0,2
1683375859270,139,S01_T01_LaunchApp-25,200,,parallel bzm - Parallel Controller,text,true,,531,1023,8,2,http://localhost:8080/api/v1/product/1/price/,95,0,16
1683375859288,121,S01_T01_LaunchApp-32,200,,parallel bzm - Parallel Controller,text,true,,531,1024,8,2,http://localhost:8080/api/v1/product/51/price/,121,0,1
1683375859264,147,S01_T01_LaunchApp-22,200,,parallel bzm - Parallel Controller,,true,,533,993,2,2,http://localhost:8080/api/v1/product/51/price/,147,0,1
1683375859287,126,S01_T01_LaunchApp-30,200,,parallel bzm - Parallel Controller,text,true,,531,1024,1,2,http://localhost:8080/api/v1/product/51/price/,122,0,1
1683375859400,26,S01_T01_LaunchApp-31,200,,parallel bzm - Parallel Controller,text,true,,531,1024,28,2,http://localhost:8080/api/v1/product/52/price/,26,0,2
1683375859401,27,S01_T01_LaunchApp-25,200,,parallel bzm - Parallel Controller,text,true,,531,1023,27,2,http://localhost:8080/api/v1/product/1/price/,27,0,1
1683375859378,53,S01_T01_LaunchApp-09,404,,parallel bzm - Parallel Controller,text,false,,522,1008,26,2,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,53,0,1
1683375859401,30,S01_T01_LaunchApp-26,200,,parallel bzm - Parallel Controller,text,true,,531,1024,26,2,http://localhost:8080/api/v1/product/52/price/,30,0,1
